Label,Styrene Oxide,Nucleophile,Solvent,Lewis Acid,Temperature,Time,Conversion,SN2,SN1
AG-207-SO-Cy-cr-RT-AlCl3-Chloroform-1,1 eq.,Cy: 7 eq.,Chloroform,AlCl3: 0.5 eq.,RT,24 hrs,91,34,66
,1 eq.,Cy: 7 eq.,Acetic acid,AlCl3: 0.5 eq.,RT,24 hrs,,,
AG-205-SO-Cy-cr-RT-AlCl3-t-butanol-1,1 eq.,Cy: 7 eq.,t-butanol,AlCl3: 0.5 eq.,RT,24 hrs,100,56,44
,,,,,,,,,
AG-181-SO-Cy-Cr-RT-AlCl3-0deg-1,1 eq.,Cy: 7 eq.,ACN,AlCl3: 0.5 eq.,0,1.5 hrs,64,38,62
,,,,,,,,,
AG-183-SO-Cy-7eq-Cr-RT-GaBr3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,GaBr3: 0.5 eq,RT,24 hrs,94,56,44
AG-172-SO-Cy-7eq-Cr-RT-AgOTf-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Sn(OTf)2: 0.5 eq,RT,24 hrs,47,86,14
AG-174-SO-Cy-7eq-Cr-RT-Cu(Otf)3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Cu(OTf)2: 0.5 eq,RT,24 hrs,76,71,29
AG-173-SO-Cy-7eq-Cr-RT-Sn(OTf)2-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Sn(OTf)2: 0.5 eq,RT,24 hrs,95,79,21
AG-192-MgBr2,1 eq.,Cy: 7 eq.,ACN,MgBr2: 0.5 eq,RT,24 hrs,100,69,31
AG-193-ZnBr2,1 eq.,Cy: 7 eq.,ACN,ZnBr2: 0.5 eq,RT,24 hrs,51,84,16
AG-194-PbF2,1 eq.,Cy: 7 eq.,ACN,PbF2: 0.5 eq,RT,24 hrs,80,88,12
,,,,,,,,,
AG-198-SO-Cy-CR-RT-Al(OEt)3-EtOH-1,1 eq.,Cy: 7 eq.,EtOH,Al(OEt)3: 0.5 eq.,RT,24 hrs,88,57,43
,,,,,,,,,
AG-197-SO-Cy-Cr-RT-LiBF4-1,1 eq.,Cy: 7 eq.,ACN,LiBF4: 0.5 eq.,RT,24 hrs,95,88,12
,,,,,,,,,
